開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-12-01,2025-12-31,20260209_132147,20260209_132147-0001,1,初回,2025-12-10 00:00:01.218000,156.56800,1.00
2025-12-01,2025-12-31,20260209_132147,20260209_132147-0002,1,初回,2025-12-16 22:30:01.653000,154.57000,1.00
2025-12-01,2025-12-31,20260209_132147,20260209_132147-0003,1,初回,2025-12-16 22:30:01.232000,154.53800,1.00
2025-12-01,2025-12-31,20260209_132147,20260209_132147-0004,1,初回,2025-12-17 04:25:42.870000,154.87600,1.00
2025-12-01,2025-12-31,20260209_132147,20260209_132147-0005,1,初回,2025-12-18 22:30:01.254000,155.43100,1.00
2025-12-01,2025-12-31,20260209_132147,20260209_132147-0006,1,初回,2025-12-19 12:22:00.987000,156.10100,1.00
2025-12-01,2025-12-31,20260209_132147,20260209_132147-0007,1,初回,2025-12-19 12:22:06.415000,156.13700,1.00
2025-12-01,2025-12-31,20260209_132147,20260209_132147-0008,1,初回,2025-12-22 22:10:03.699000,157.14700,1.00
