開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-11-01,2025-11-30,20260208_230901,20260208_230901-0011,1,初回,2025-11-25 22:30:01.366000,156.05500,1.00
2025-11-01,2025-11-30,20260208_230901,20260208_230901-0012,1,初回,2025-11-28 11:32:37.608000,156.11800,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0001,1,初回,2025-12-03 22:15:00.292000,155.24200,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0002,1,初回,2025-12-04 22:30:00.277000,154.91500,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0003,1,初回,2025-12-04 22:30:00.329000,154.96900,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0004,1,初回,2025-12-10 00:00:01.218000,156.56800,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0005,1,初回,2025-12-11 04:35:31.746000,156.12800,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0006,1,初回,2025-12-11 04:35:32.601000,156.14900,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0007,1,初回,2025-12-11 04:36:10.167000,156.51700,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0008,1,初回,2025-12-11 04:36:11.760000,156.50800,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0009,1,初回,2025-12-12 21:03:06.305000,155.79400,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0010,1,初回,2025-12-16 22:30:01.232000,154.53800,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0011,1,初回,2025-12-16 22:30:01.653000,154.57000,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0012,1,初回,2025-12-17 04:25:43.194000,154.88900,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0013,1,初回,2025-12-17 04:25:41.950000,154.85900,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0014,1,初回,2025-12-18 22:30:01.201000,155.63700,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0015,1,初回,2025-12-18 22:30:01.254000,155.43100,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0016,1,初回,2025-12-18 22:30:01.416000,155.44700,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0017,1,初回,2025-12-18 22:30:01.841000,155.41800,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0018,1,初回,2025-12-22 22:10:03.760000,157.10700,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0019,1,初回,2025-12-22 22:10:03.699000,157.14700,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0020,1,初回,2025-12-22 22:10:22.023000,156.89300,1.00
2025-12-01,2025-12-31,20260208_231330,20260208_231330-0021,1,初回,2025-12-22 22:10:17.375000,156.96100,1.00
