開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0052,1,初回,2025-12-26 18:24:28.067000,156.46200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0053,1,初回,2025-12-27 00:55:37.055000,156.51600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0054,1,初回,2025-12-29 16:54:29.643000,156.08600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0055,1,初回,2025-12-29 23:40:51.663000,156.02700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0056,1,初回,2025-12-29 23:35:29.940000,156.08700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0057,1,初回,2025-12-30 15:19:21.657000,155.95400,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0058,1,初回,2025-12-30 23:32:40.745000,156.30700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0059,1,初回,2025-12-31 00:16:37.004000,156.40000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0060,1,初回,2025-12-31 00:26:52.258000,156.48200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0061,1,初回,2025-12-31 13:17:41.336000,156.53800,1.00
