開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0052,1,初回,2025-12-08 23:25:01.649000,155.44800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0053,1,初回,2025-12-08 23:38:27.588000,155.72600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0054,1,初回,2025-12-08 23:51:39.638000,155.77400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0055,1,初回,2025-12-09 00:01:30.769000,155.88000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0056,1,初回,2025-12-09 13:42:11.670000,155.94900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0057,1,初回,2025-12-09 13:42:48.553000,155.95300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0058,1,初回,2025-12-09 14:07:01.854000,156.01200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0059,1,初回,2025-12-09 14:07:23.568000,156.06200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0060,1,初回,2025-12-09 14:08:04.455000,156.05600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0061,1,初回,2025-12-09 16:16:15.014000,156.15900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0062,1,初回,2025-12-09 21:41:56.302000,156.31000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0063,1,初回,2025-12-09 22:03:08.030000,156.32700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0064,1,初回,2025-12-09 22:13:08.762000,156.40400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0065,1,初回,2025-12-10 11:00:39.600000,156.70800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0066,1,初回,2025-12-10 19:01:14.079000,156.85700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0067,1,初回,2025-12-10 22:30:01.327000,156.62100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0068,1,初回,2025-12-10 22:33:23.068000,156.61500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0069,1,初回,2025-12-10 22:34:07.351000,156.59800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0070,1,初回,2025-12-11 04:00:25.374000,156.28400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0071,1,初回,2025-12-11 11:04:04.437000,155.60900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0072,1,初回,2025-12-11 11:04:04.541000,155.60800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0073,1,初回,2025-12-11 13:43:27.301000,155.79300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0074,1,初回,2025-12-11 14:56:34.015000,156.07000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0075,1,初回,2025-12-11 19:03:04.194000,155.82100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0076,1,初回,2025-12-11 22:05:21.507000,155.52800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0077,1,初回,2025-12-11 22:05:40.365000,155.52800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0078,1,初回,2025-12-11 23:58:24.384000,155.00500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0079,1,初回,2025-12-12 11:04:15.885000,155.69300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0080,1,初回,2025-12-12 17:53:29.748000,155.80200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0081,1,初回,2025-12-12 18:01:06.138000,155.81300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0082,1,初回,2025-12-12 21:32:45.542000,155.99900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0083,1,初回,2025-12-12 21:43:20.184000,156.02400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0084,1,初回,2025-12-12 23:02:24.543000,156.09700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0085,1,初回,2025-12-13 04:19:59.926000,155.87300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0086,1,初回,2025-12-15 11:00:45.900000,155.64500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0087,1,初回,2025-12-15 11:14:05.155000,155.58200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0088,1,初回,2025-12-15 11:14:38.817000,155.58100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0089,1,初回,2025-12-15 11:39:37.026000,155.48400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0090,1,初回,2025-12-15 15:30:04.079000,154.98800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0091,1,初回,2025-12-15 15:30:01.870000,154.99300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0092,1,初回,2025-12-15 18:13:14.282000,154.98700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0093,1,初回,2025-12-15 20:32:25.513000,154.97900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0094,1,初回,2025-12-15 20:53:21.917000,154.94000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0095,1,初回,2025-12-15 22:09:17.228000,155.12200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0096,1,初回,2025-12-15 23:45:28.079000,154.88600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0097,1,初回,2025-12-15 23:45:29.189000,154.89000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0098,1,初回,2025-12-16 01:00:39.697000,155.19700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0099,1,初回,2025-12-16 01:23:50.383000,155.26200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0100,1,初回,2025-12-16 02:03:19.905000,155.30100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0101,1,初回,2025-12-16 11:00:54.910000,154.87500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0102,1,初回,2025-12-16 11:01:04.680000,154.87300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0103,1,初回,2025-12-16 11:57:24.029000,154.77300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0104,1,初回,2025-12-16 14:13:59.751000,154.73800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0105,1,初回,2025-12-16 15:14:20.106000,154.88900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0106,1,初回,2025-12-16 16:05:39.248000,154.91800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0107,1,初回,2025-12-16 21:45:52.804000,154.72100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0108,1,初回,2025-12-16 21:55:01.323000,154.64600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0109,1,初回,2025-12-16 22:30:00.239000,154.71300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0110,1,初回,2025-12-16 23:13:00.649000,154.88500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0111,1,初回,2025-12-16 23:17:16.830000,154.94700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0112,1,初回,2025-12-17 00:15:41.137000,154.63500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0113,1,初回,2025-12-17 04:25:42.870000,154.87600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0114,1,初回,2025-12-17 11:04:52.210000,154.80300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0115,1,初回,2025-12-17 11:12:15.489000,154.84400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0116,1,初回,2025-12-17 11:17:53.881000,154.88600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0117,1,初回,2025-12-17 11:49:19.553000,154.96800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0118,1,初回,2025-12-17 11:49:23.706000,154.97000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0119,1,初回,2025-12-17 12:04:29.950000,154.99500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0120,1,初回,2025-12-17 13:33:27.248000,155.09000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0121,1,初回,2025-12-17 15:36:54.501000,155.37000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0122,1,初回,2025-12-18 01:18:55.466000,155.39300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0123,1,初回,2025-12-18 01:49:55.477000,155.56600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0124,1,初回,2025-12-18 01:50:28.986000,155.56700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0125,1,初回,2025-12-18 11:02:21.213000,155.74300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0126,1,初回,2025-12-18 15:08:52.730000,155.85400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0127,1,初回,2025-12-18 21:01:27.298000,155.75900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0128,1,初回,2025-12-18 22:07:50.543000,155.76000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0129,1,初回,2025-12-18 20:50:27.086000,155.73600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0130,1,初回,2025-12-18 22:30:01.254000,155.43100,1.00
