開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0002,2,段階1,2016-02-05 22:31:24.419000,117.00600,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0003,1,初回,2016-02-08 23:36:39.356000,115.95000,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0004,1,初回,2016-02-10 11:15:04.189000,115.11600,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0005,1,初回,2016-02-11 02:01:37.272000,113.87200,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0005,2,段階1,2016-02-11 02:01:37.272000,113.82000,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0005,3,段階2,2016-02-11 02:01:37.272000,113.76700,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0006,1,初回,2016-02-11 17:40:39.037000,111.02000,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0007,1,初回,2016-02-11 21:21:39.147000,113.16300,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0008,1,初回,2016-02-12 00:39:40.481000,111.78100,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0009,1,初回,2016-02-12 15:58:07.546000,111.67900,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0010,1,初回,2016-02-12 15:54:40.359000,111.86600,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0010,2,段階1,2016-02-12 15:54:40.359000,111.81300,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0010,3,段階2,2016-02-12 15:54:40.359000,111.76400,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0010,4,段階3,2016-02-12 15:54:40.359000,111.71500,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0011,1,初回,2016-02-25 22:30:03.765000,112.66800,1.00
2016-02-01,2016-02-29,20260209_032547,20260209_032547-0011,2,段階1,2016-02-25 22:30:03.765000,112.71900,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0001,1,初回,2016-03-03 00:30:12.860000,113.70800,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0002,1,初回,2016-03-15 11:47:07.831000,114.01300,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0003,1,初回,2016-03-15 11:47:06.480000,113.91500,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0003,2,段階1,2016-03-15 11:47:06.480000,113.97600,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0004,1,初回,2016-03-15 12:31:55.611000,114.11700,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0005,1,初回,2016-03-15 12:35:07.930000,113.63500,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0006,1,初回,2016-03-16 21:30:04.594000,113.75500,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0007,1,初回,2016-03-16 21:30:03.160000,113.74100,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0008,1,初回,2016-03-30 01:20:08.303000,113.26800,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0008,2,段階1,2016-03-30 01:20:08.303000,113.21700,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0008,3,段階2,2016-03-30 01:20:08.303000,113.16700,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0008,4,段階3,2016-03-30 01:20:08.303000,113.11300,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0008,5,段階4,2016-03-30 01:20:08.303000,113.06300,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0008,6,段階5,2016-03-30 01:20:08.303000,113.01800,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0009,1,初回,2016-03-30 01:20:13.159000,113.26500,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0009,2,段階1,2016-03-30 01:20:13.159000,113.20800,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0009,3,段階2,2016-03-30 01:20:13.159000,113.16300,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0009,4,段階3,2016-03-30 01:20:13.159000,113.11300,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0009,5,段階4,2016-03-30 01:20:13.159000,113.06300,1.00
2016-03-01,2016-03-31,20260209_032651,20260209_032651-0009,6,段階5,2016-03-30 01:20:13.159000,113.01500,1.00
2016-04-01,2016-04-30,20260209_032745,20260209_032745-0001,1,初回,2016-04-06 23:22:17.283000,110.38300,1.00
