開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0052,1,初回,2025-12-17 12:04:29.950000,154.99500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0053,1,初回,2025-12-17 13:33:27.248000,155.09000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0054,1,初回,2025-12-17 15:36:54.501000,155.37000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0055,1,初回,2025-12-18 02:41:16.258000,155.60300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0056,1,初回,2025-12-18 11:02:21.213000,155.74300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0057,1,初回,2025-12-18 22:30:01.254000,155.43100,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0058,1,初回,2025-12-18 23:10:51.784000,155.37700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0059,1,初回,2025-12-19 02:16:01.624000,155.66300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0060,1,初回,2025-12-19 12:21:31.130000,155.92800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0061,1,初回,2025-12-19 12:21:38.719000,155.94700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0062,1,初回,2025-12-19 12:21:38.773000,155.96000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0063,1,初回,2025-12-19 12:22:00.458000,156.09800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0064,1,初回,2025-12-19 12:22:06.415000,156.13700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0065,1,初回,2025-12-19 14:00:16.991000,156.05700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0066,1,初回,2025-12-19 15:39:51.129000,156.13300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0067,1,初回,2025-12-19 17:02:33.107000,156.85600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0068,1,初回,2025-12-19 17:56:24.501000,156.91400,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0069,1,初回,2025-12-19 17:56:45.116000,156.92300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0070,1,初回,2025-12-19 21:03:10.436000,157.35000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0071,1,初回,2025-12-19 23:47:45.822000,157.35500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0072,1,初回,2025-12-20 02:03:00.441000,157.45900,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0073,1,初回,2025-12-22 11:00:10.683000,157.29200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0074,1,初回,2025-12-22 22:10:03.699000,157.14700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0075,1,初回,2025-12-23 01:15:02.626000,156.90500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0076,1,初回,2025-12-23 01:18:10.724000,156.90600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0077,1,初回,2025-12-23 18:03:52.030000,155.77000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0078,1,初回,2025-12-24 11:16:58.475000,155.69000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0079,1,初回,2025-12-24 18:05:26.658000,155.70200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0080,1,初回,2025-12-24 21:57:45.578000,156.03500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0081,1,初回,2025-12-24 23:54:59.196000,155.72600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0082,1,初回,2025-12-25 11:18:38.035000,155.70500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0083,1,初回,2025-12-25 11:20:32.776000,155.70200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0084,1,初回,2025-12-25 13:01:21.288000,155.67800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0085,1,初回,2025-12-25 13:05:48.301000,155.60400,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0086,1,初回,2025-12-25 14:14:08.365000,155.48200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0087,1,初回,2025-12-25 14:27:40.047000,155.47400,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0088,1,初回,2025-12-25 15:41:37.321000,155.89400,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0089,1,初回,2025-12-25 16:49:34.377000,155.94900,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0090,1,初回,2025-12-25 16:49:46.579000,155.99900,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0091,1,初回,2025-12-25 16:57:31.577000,156.04500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0092,1,初回,2025-12-26 16:53:49.079000,156.40800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0093,1,初回,2025-12-26 18:09:02.075000,156.41500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0094,1,初回,2025-12-26 18:24:28.067000,156.46200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0095,1,初回,2025-12-27 00:55:37.055000,156.51600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0096,1,初回,2025-12-29 16:54:29.643000,156.08600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0097,1,初回,2025-12-29 23:35:29.940000,156.08700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0098,1,初回,2025-12-29 23:40:51.663000,156.02700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0099,1,初回,2025-12-30 00:46:28.761000,156.04800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0100,1,初回,2025-12-30 15:19:21.657000,155.95400,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0101,1,初回,2025-12-30 15:19:10.569000,155.96800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0102,1,初回,2025-12-30 23:32:40.745000,156.30700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0103,1,初回,2025-12-31 00:16:37.004000,156.40000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0104,1,初回,2025-12-31 00:26:52.258000,156.48200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0105,1,初回,2025-12-31 13:17:41.336000,156.53800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0106,1,初回,2025-12-31 13:20:12.639000,156.57200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0107,1,初回,2025-12-31 14:00:48.094000,156.60700,1.00
